seq_index,start_position,end_position
637,3,14
637,71,82
151,3,14
151,71,82
17,3,14
17,71,82
1934,3,14
1934,71,82
1907,3,14
1907,71,82
2007,3,14
2007,71,82
320,3,14
320,71,82
1663,3,14
1663,71,82
219,3,14
219,71,82
237,3,14
237,71,82
287,3,14
287,71,82
270,3,14
270,71,82
3259,31,42
3259,99,110
1950,3,14
1950,71,82
653,4,15
653,72,83
1348,3,14
1348,71,82
20,3,14
20,71,82
40,3,14
40,71,82
1869,3,14
1869,71,82
1202,3,14
1202,71,82
24,3,14
24,71,82
295,3,14
295,71,82
412,3,14
412,71,82
181,3,14
181,71,82
118,3,14
118,71,82
2195,3,14
2195,71,82
2,3,14
2,71,82
1795,3,14
1795,71,82
2575,3,14
2575,71,82
333,3,14
333,71,82
1816,3,14
1816,71,82
383,3,14
383,71,82
290,3,14
290,71,82
451,3,14
451,71,82
868,5,16
868,73,84
2492,3,14
2492,71,82
58,3,14
58,71,82
443,3,14
443,71,82
986,3,14
986,71,82
367,3,14
367,71,82
185,3,14
185,71,82
2690,3,14
2690,71,82
2298,3,14
2298,71,82
1182,3,14
1182,71,82
307,3,14
307,71,82
1619,11,22
1619,79,90
972,3,14
972,71,82
2009,4,15
2009,72,83
261,3,14
261,71,82
258,3,14
258,71,82
658,4,15
658,72,83
44,3,14
44,71,82
35,3,14
35,71,82
158,3,14
158,71,82
2434,3,14
2434,71,82
617,4,15
617,72,83
29,3,14
29,71,82
11,3,14
11,71,82
809,4,15
809,72,83
128,3,14
128,71,82
77,3,14
77,71,82
71,3,14
71,71,82
298,3,14
298,71,82
2393,30,41
2393,98,109
1226,3,14
1226,71,82
1879,3,14
1879,71,82
165,3,14
165,71,82
523,4,15
523,72,83
208,3,14
208,71,82
3004,3,14
3004,71,82
1808,3,14
1808,71,82
69,3,14
69,71,82
349,3,14
349,71,82
