seq_index,start_position,end_position
2447,50,61
2447,96,107
2064,35,46
2064,81,92
50,4,15
50,50,61
1995,50,61
1995,96,107
2369,50,61
2369,96,107
150,4,15
150,50,61
30,4,15
30,50,61
2446,50,61
2446,96,107
1531,50,61
1531,96,107
2358,50,61
2358,96,107
3505,4,15
3505,50,61
1491,4,15
1491,50,61
2758,50,61
2758,96,107
1373,14,25
1373,60,71
2300,50,61
2300,96,107
1102,50,61
1102,96,107
2311,50,61
2311,96,107
2400,50,61
2400,96,107
2458,50,61
2458,96,107
99,25,36
99,71,82
190,4,15
190,50,61
1814,4,15
1814,50,61
1442,4,15
1442,50,61
523,4,15
523,50,61
125,4,15
125,50,61
1834,4,15
1834,50,61
