seq_index,start_position,end_position
1534,37,48
1534,57,68
1176,50,61
1176,70,81
3131,30,41
3131,50,61
2322,50,61
2322,70,81
1419,50,61
1419,70,81
1837,30,41
1837,50,61
2666,30,41
2666,50,61
2462,30,41
2462,50,61
124,50,61
124,70,81
1823,50,61
1823,70,81
358,50,61
358,70,81
2419,30,41
2419,50,61
2377,50,61
2377,70,81
2615,30,41
2615,50,61
336,50,61
336,70,81
15,50,61
15,70,81
3348,58,69
3348,78,89
3563,30,41
3563,50,61
2361,3,14
2361,23,34
3553,30,41
3553,50,61
1920,28,39
1920,48,59
2322,46,57
2322,66,77
3563,80,91
3563,100,111
3195,50,61
3195,70,81
1102,7,18
1102,27,38
195,50,61
195,70,81
1838,50,61
1838,70,81
1849,30,41
1849,50,61
352,50,61
352,70,81
2426,30,41
2426,50,61
1959,30,41
1959,50,61
1103,30,41
1103,50,61
3158,59,70
3158,79,90
2667,50,61
2667,70,81
3196,30,41
3196,50,61
1104,50,61
1104,70,81
2362,30,41
2362,50,61
3235,50,61
3235,70,81
2393,30,41
2393,50,61
886,50,61
886,70,81
1281,61,72
1281,81,92
