seq_index,start_position,end_position
1089,31,42
1089,50,61
3601,50,61
3601,69,80
2632,50,61
2632,69,80
1259,31,42
1259,50,61
2334,50,61
2334,69,80
1315,30,41
1315,49,60
857,31,42
857,50,61
246,50,61
246,69,80
1651,31,42
1651,50,61
1809,31,42
1809,50,61
2792,50,61
2792,69,80
2333,31,42
2333,50,61
913,31,42
913,50,61
1850,50,61
1850,69,80
3211,31,42
3211,50,61
346,50,61
346,69,80
1919,50,61
1919,69,80
2991,49,60
2991,68,79
1328,31,42
1328,50,61
3056,31,42
3056,50,61
2834,31,42
2834,50,61
2646,31,42
2646,50,61
2347,50,61
2347,69,80
1825,50,61
1825,69,80
1137,32,43
1137,51,62
3600,31,42
3600,50,61
1872,31,42
1872,50,61
3057,12,23
3057,31,42
1325,31,42
1325,50,61
3339,31,42
3339,50,61
3321,50,61
3321,69,80
363,50,61
363,69,80
279,31,42
279,50,61
2795,59,70
2795,78,89
1268,31,42
1268,50,61
2348,31,42
2348,50,61
3160,50,61
3160,69,80
2633,31,42
2633,50,61
2431,50,61
2431,69,80
2992,30,41
2992,49,60
3240,31,42
3240,50,61
1316,50,61
1316,69,80
2297,50,61
2297,69,80
3203,31,42
3203,50,61
1142,31,42
1142,50,61
