seq_index,start_position,end_position
1137,71,82
1137,87,98
456,12,23
456,28,39
3058,50,61
3058,66,77
724,34,45
724,50,61
2687,50,61
2687,66,77
1421,50,61
1421,66,77
723,69,80
723,85,96
2141,34,45
2141,50,61
2576,7,18
2576,23,34
763,72,83
763,88,99
2459,50,61
2459,66,77
3348,62,73
3348,78,89
2771,50,61
2771,66,77
400,34,45
400,50,61
1167,34,45
1167,50,61
437,34,45
437,50,61
895,50,61
895,66,77
2196,49,60
2196,65,76
2243,34,45
2243,50,61
2660,50,61
2660,66,77
1843,58,69
1843,74,85
582,34,45
582,50,61
1891,34,45
1891,50,61
3354,50,61
3354,66,77
2346,50,61
2346,66,77
2063,34,45
2063,50,61
139,34,45
139,50,61
