seq_index,start_position,end_position
499,3,14
499,72,83
456,28,39
456,97,108
1394,3,14
1394,72,83
514,3,14
514,72,83
405,3,14
405,72,83
1882,3,14
1882,72,83
607,3,14
607,72,83
1997,3,14
1997,72,83
535,3,14
535,72,83
724,3,14
724,72,83
770,3,14
770,72,83
3187,3,14
3187,72,83
717,3,14
717,72,83
521,3,14
521,72,83
2465,3,14
2465,72,83
2209,3,14
2209,72,83
1685,3,14
1685,72,83
528,3,14
528,72,83
747,3,14
747,72,83
818,3,14
818,72,83
1983,3,14
1983,72,83
1854,3,14
1854,72,83
710,3,14
710,72,83
570,3,14
570,72,83
700,3,14
700,72,83
615,3,14
615,72,83
1102,27,38
1102,96,107
547,3,14
547,72,83
605,3,14
605,72,83
1575,18,29
1575,87,98
595,3,14
595,72,83
631,3,14
631,72,83
611,3,14
611,72,83
381,2,13
381,71,82
787,3,14
787,72,83
777,3,14
777,72,83
736,3,14
736,72,83
582,3,14
582,72,83
629,3,14
629,72,83
1880,3,14
1880,72,83
541,3,14
541,72,83
602,3,14
602,72,83
694,3,14
694,72,83
3371,3,14
3371,72,83
813,3,14
813,72,83
640,3,14
640,72,83
