seq_index,start_position,end_position
2290,33,44
2290,76,87
76,50,61
76,93,104
79,7,18
79,50,61
1112,50,61
1112,93,104
970,7,18
970,50,61
981,50,61
981,93,104
818,29,40
818,72,83
327,50,61
327,93,104
763,29,40
763,72,83
2743,50,61
2743,93,104
1811,50,61
1811,93,104
1922,7,18
1922,50,61
1102,7,18
1102,50,61
55,50,61
55,93,104
1108,50,61
1108,93,104
8,50,61
8,93,104
3026,25,36
3026,68,79
1313,50,61
1313,93,104
183,28,39
183,71,82
43,50,61
43,93,104
1103,30,41
1103,73,84
168,28,39
168,71,82
3196,50,61
3196,93,104
1104,50,61
1104,93,104
294,50,61
294,93,104
220,50,61
220,93,104
