seq_index,start_position,end_position
78,12,23
78,50,61
456,12,23
456,50,61
1003,34,45
1003,72,83
1447,12,23
1447,50,61
831,50,61
831,88,99
3406,49,60
3406,87,98
724,34,45
724,72,83
1122,33,44
1122,71,82
1112,12,23
1112,50,61
1920,2,13
1920,40,51
996,12,23
996,50,61
947,50,61
947,88,99
947,12,23
947,50,61
763,50,61
763,88,99
1491,12,23
1491,50,61
948,50,61
948,88,99
2382,50,61
2382,88,99
1627,34,45
1627,72,83
939,50,61
939,88,99
1289,12,23
1289,50,61
1123,12,23
1123,50,61
672,34,45
672,72,83
3442,12,23
3442,50,61
1628,50,61
1628,88,99
997,39,50
997,77,88
582,34,45
582,72,83
1399,50,61
1399,88,99
2367,12,23
2367,50,61
1883,12,23
1883,50,61
938,1,12
938,39,50
