seq_index,start_position,end_position
1702,50,61
1702,71,82
637,50,61
637,71,82
171,50,61
171,71,82
365,50,61
365,71,82
115,50,61
115,71,82
1101,29,40
1101,50,61
1844,29,40
1844,50,61
1934,50,61
1934,71,82
1912,29,40
1912,50,61
222,29,40
222,50,61
50,50,61
50,71,82
1907,50,61
1907,71,82
260,50,61
260,71,82
13,50,61
13,71,82
320,50,61
320,71,82
1528,29,40
1528,50,61
1796,50,61
1796,71,82
1122,50,61
1122,71,82
287,50,61
287,71,82
1780,50,61
1780,71,82
1911,50,61
1911,71,82
1155,29,40
1155,50,61
893,50,61
893,71,82
47,50,61
47,71,82
1950,50,61
1950,71,82
1109,50,61
1109,71,82
310,50,61
310,71,82
1793,50,61
1793,71,82
1395,29,40
1395,50,61
229,50,61
229,71,82
2839,50,61
2839,71,82
1869,50,61
1869,71,82
434,50,61
434,71,82
2533,29,40
2533,50,61
30,50,61
30,71,82
1828,50,61
1828,71,82
1839,50,61
1839,71,82
109,50,61
109,71,82
181,50,61
181,71,82
1784,50,61
1784,71,82
3505,50,61
3505,71,82
2144,29,40
2144,50,61
1785,50,61
1785,71,82
1795,50,61
1795,71,82
763,29,40
763,50,61
1799,29,40
1799,50,61
826,50,61
826,71,82
73,50,61
73,71,82
1935,29,40
1935,50,61
1338,50,61
1338,71,82
138,29,40
138,50,61
322,50,61
322,71,82
1707,55,66
1707,76,87
1816,50,61
1816,71,82
3435,29,40
3435,50,61
451,50,61
451,71,82
138,63,74
138,84,95
58,50,61
58,71,82
3166,50,61
3166,71,82
443,50,61
443,71,82
969,50,61
969,71,82
303,50,61
303,71,82
1835,50,61
1835,71,82
367,50,61
367,71,82
899,50,61
899,71,82
211,50,61
211,71,82
1258,29,40
1258,50,61
2982,49,60
2982,70,81
328,50,61
328,71,82
2690,50,61
2690,71,82
304,50,61
304,71,82
2232,50,61
2232,71,82
1812,50,61
1812,71,82
307,50,61
307,71,82
2665,50,61
2665,71,82
134,50,61
134,71,82
137,50,61
137,71,82
1191,50,61
1191,71,82
1219,77,88
1219,98,109
299,50,61
299,71,82
1695,50,61
1695,71,82
3189,29,40
3189,50,61
1123,29,40
1123,50,61
1694,29,40
1694,50,61
1313,29,40
1313,50,61
1190,29,40
1190,50,61
517,50,61
517,71,82
467,50,61
467,71,82
183,50,61
183,71,82
1189,29,40
1189,50,61
44,50,61
44,71,82
281,50,61
281,71,82
2896,50,61
2896,71,82
43,29,40
43,50,61
158,50,61
158,71,82
3108,50,61
3108,71,82
2434,50,61
2434,71,82
29,50,61
29,71,82
233,50,61
233,71,82
2433,29,40
2433,50,61
190,50,61
190,71,82
3411,29,40
3411,50,61
3411,8,19
3411,29,40
3411,50,61
3411,71,82
3411,71,82
3411,92,103
1786,29,40
1786,50,61
11,50,61
11,71,82
3412,29,40
3412,50,61
3412,50,61
3412,71,82
3412,71,82
3412,92,103
968,50,61
968,71,82
294,29,40
294,50,61
3409,29,40
3409,50,61
3409,8,19
3409,29,40
362,50,61
362,71,82
175,20,31
175,41,52
1814,50,61
1814,71,82
450,29,40
450,50,61
3410,29,40
3410,50,61
3410,8,19
3410,29,40
3410,50,61
3410,71,82
1127,29,40
1127,50,61
227,50,61
227,71,82
1879,50,61
1879,71,82
874,50,61
874,71,82
1946,50,61
1946,71,82
208,50,61
208,71,82
98,50,61
98,71,82
1808,50,61
1808,71,82
2984,28,39
2984,49,60
139,50,61
139,71,82
2143,50,61
2143,71,82
349,50,61
349,71,82
