seq_index,start_position,end_position
637,3,14
637,50,61
456,50,61
456,97,108
840,3,14
840,50,61
1934,3,14
1934,50,61
1912,3,14
1912,50,61
1907,3,14
1907,50,61
2405,3,14
2405,50,61
1882,3,14
1882,50,61
1841,32,43
1841,79,90
320,3,14
320,50,61
535,3,14
535,50,61
724,3,14
724,50,61
770,3,14
770,50,61
1112,50,61
1112,97,108
287,3,14
287,50,61
1911,24,35
1911,71,82
1950,3,14
1950,50,61
890,3,14
890,50,61
2337,3,14
2337,50,61
2522,3,14
2522,50,61
3106,3,14
3106,50,61
1869,3,14
1869,50,61
747,3,14
747,50,61
181,3,14
181,50,61
358,3,14
358,50,61
1794,3,14
1794,50,61
871,3,14
871,50,61
881,3,14
881,50,61
1854,3,14
1854,50,61
710,3,14
710,50,61
2249,3,14
2249,50,61
844,3,14
844,50,61
1795,3,14
1795,50,61
1797,3,14
1797,50,61
480,25,36
480,72,83
2361,3,14
2361,50,61
1816,3,14
1816,50,61
451,3,14
451,50,61
58,3,14
58,50,61
615,3,14
615,50,61
443,3,14
443,50,61
367,3,14
367,50,61
211,24,35
211,71,82
2690,3,14
2690,50,61
307,3,14
307,50,61
597,3,14
597,50,61
1874,3,14
1874,50,61
2190,49,60
2190,96,107
3074,2,13
3074,49,60
909,3,14
909,50,61
44,3,14
44,50,61
582,3,14
582,50,61
158,3,14
158,50,61
2434,3,14
2434,50,61
29,3,14
29,50,61
2308,3,14
2308,50,61
1880,3,14
1880,50,61
347,50,61
347,97,108
602,3,14
602,50,61
11,3,14
11,50,61
2650,3,14
2650,50,61
2362,30,41
2362,77,88
1879,3,14
1879,50,61
208,3,14
208,50,61
1808,3,14
1808,50,61
349,3,14
349,50,61
